met_id,e_met_id,p_met_id,c_met_id
arab__L,arab__L_e,arab__L_p,arab__L_c
acgam,acgam_e,acgam_p,acgam_c
glcr,glcr_e,glcr_p,glcr_c
succ,succ_e,succ_p,succ_c
gal,gal_e,gal_p,gal_c
asp__L,asp__L_e,asp__L_p,asp__L_c
pro__L,pro__L_e,pro__L_p,pro__L_c
ala__D,ala__D_e,ala__D_p,ala__D_c
tre,tre_e,tre_p,tre_c
man,man_e,man_p,man_c
galt,galt_e,galt_p,-
ser__D,ser__D_e,ser__D_p,ser__D_c
sbt__D,sbt__D_e,sbt__D_p,-
glyc,glyc_e,glyc_p,glyc_c
fuc__L,fuc__L_e,fuc__L_p,fuc__L_c
glcur,glcur_e,glcur_p,glcur_c
glcn,glcn_e,glcn_p,glcn_c
glyc3p,glyc3p_e,glyc3p_p,glyc3p_c
xyl__D,xyl__D_e,xyl__D_p,xyl__D_c
lac__L,lac__L_e,lac__L_p,lac__L_c
for,for_e,for_p,for_c
mnl,mnl_e,mnl_p,-
glu__L,glu__L_e,glu__L_p,glu__L_c
g6p,g6p_e,g6p_p,g6p_c
galctn__D,galctn__D_e,galctn__D_p,galctn__D_c
mal__D,mal__D_e,mal__D_p,mal__D_c
mal__L,mal__L_e,mal__L_p,mal__L_c
rib__D,rib__D_e,rib__D_p,rib__D_c
rmn,rmn_e,rmn_p,rmn_c
fru,fru_e,fru_p,fru_c
ac,ac_e,ac_p,ac_c
glc__D,glc__D_e,glc__D_p,glc__D_c
malt,malt_e,malt_p,malt_c
melib,melib_e,melib_p,melib_c
thymd,thymd_e,thymd_p,thymd_c
asn__L,asn__L_e,asn__L_p,asn__L_c
12ppd__S,12ppd__S_e,12ppd__S_p,12ppd__S_c
akg,akg_e,akg_p,akg_c
2obut,-,-,2obut_c
lcts,lcts_e,lcts_p,lcts_c
sucr,sucr_e,sucr_p,-
uri,uri_e,uri_p,uri_c
gln__L,gln__L_e,gln__L_p,gln__L_c
g1p,g1p_e,g1p_p,g1p_c
f6p,f6p_e,f6p_p,f6p_c
malttr,malttr_e,malttr_p,malttr_c
dad_2,dad_2_e,dad_2_p,dad_2_c
adn,adn_e,adn_p,adn_c
cit,cit_e,cit_p,cit_c
inost,inost_e,inost_p,inost_c
fum,fum_e,fum_p,fum_c
ppa,ppa_e,ppa_p,ppa_c
galct__D,galct__D_e,galct__D_p,galct__D_c
glyclt,glyclt_e,glyclt_p,glyclt_c
glx,-,-,glx_c
ins,ins_e,ins_p,ins_c
ser__L,ser__L_e,ser__L_p,ser__L_c
thr__L,thr__L_e,thr__L_p,thr__L_c
ala__L,ala__L_e,ala__L_p,ala__L_c
acac,acac_e,acac_p,acac_c
acmana,acmana_e,acmana_p,acmana_c
tym,tym_e,tym_p,-
lyx__L,lyx__L_e,lyx__L_p,lyx__L_c
pyr,pyr_e,pyr_p,pyr_c
galctn__L,galctn__L_e,galctn__L_p,galctn__L_c
galur,galur_e,galur_p,galur_c
peamn,peamn_e,peamn_p,-
etha,etha_e,etha_p,etha_c
glycogen,-,-,glycogen_c
acgal,acgal_e,acgal_p,-
acnam,acnam_e,acnam_p,acnam_c
all__D,all__D_e,all__D_p,all__D_c
arbt,arbt_e,arbt_p,-
4abut,4abut_e,4abut_p,4abut_c
but,but_e,but_p,but_c
dca,dca_e,dca_p,dca_c
hxa,hxa_e,hxa_p,hxa_c
4hbz,-,-,4hbz_c
5dglcn,5dglcn_e,5dglcn_p,5dglcn_c
oxa,-,-,oxa_c
quin,quin_e,quin_p,quin_c
tartr__D,tartr__D_e,tartr__D_p,tartr__D_c
tartr__L,tartr__L_e,tartr__L_p,tartr__L_c
acglu,-,-,acglu_c
arg__L,arg__L_e,arg__L_p,arg__L_c
gly,gly_e,gly_p,gly_c
his__L,his__L_e,his__L_p,his__L_c
hom__L,hom__L_e,hom__L_p,hom__L_c
ile__L,ile__L_e,ile__L_p,ile__L_c
leu__L,leu__L_e,leu__L_p,leu__L_c
lys__L,lys__L_e,lys__L_p,lys__L_c
met__L,met__L_e,met__L_p,met__L_c
orn,orn_e,orn_p,orn_c
phe__L,phe__L_e,phe__L_p,phe__L_c
val__L,val__L_e,val__L_p,val__L_c
crn,crn_e,crn_p,crn_c
crn__D,crn__D_e,crn__D_p,crn__D_c
ptrc,ptrc_e,ptrc_p,ptrc_c
dha,dha_e,dha_p,dha_c
nh4,nh4_e,nh4_p,nh4_c
no2,no2_e,no2_p,no2_c
no3,no3_e,no3_p,no3_c
urea,urea_e,urea_p,urea_c
cys__L,cys__L_e,cys__L_p,cys__L_c
trp__L,trp__L_e,trp__L_p,trp__L_c
tyr__L,tyr__L_e,tyr__L_p,tyr__L_c
glu__D,-,-,glu__D_c
citr__L,-,-,citr__L_c
agm,agm_e,agm_p,agm_c
gam,gam_e,gam_p,-
ade,ade_e,ade_p,ade_c
cytd,cytd_e,cytd_p,cytd_c
csn,csn_e,csn_p,csn_c
gua,gua_e,gua_p,gua_c
gsn,gsn_e,gsn_p,gsn_c
thym,thym_e,thym_p,thym_c
ura,ura_e,ura_p,ura_c
xan,xan_e,xan_p,xan_c
xtsn,xtsn_e,xtsn_p,xtsn_c
urate,-,-,urate_c
alltn,alltn_e,alltn_p,alltn_c
pi,pi_e,pi_p,pi_c
ppi,-,-,ppi_c
3amp,3amp_e,3amp_p,-
amp,amp_e,amp_p,amp_c
23camp,23camp_e,23camp_p,-
2pg,-,-,2pg_c
3pg,-,-,3pg_c
3gmp,3gmp_e,3gmp_p,-
gmp,gmp_e,gmp_p,gmp_c
23cgmp,23cgmp_e,23cgmp_p,-
pep,-,-,pep_c
2pglyc,-,-,2pglyc_c
gam6p,gam6p_e,gam6p_p,gam6p_c
6pgc,-,-,6pgc_c
3cmp,3cmp_e,3cmp_p,-
cmp,cmp_e,cmp_p,cmp_c
23ccmp,23ccmp_e,23ccmp_p,-
man1p,-,-,man1p_c
man6p,man6p_e,man6p_p,man6p_c
pser__L,pser__L_e,pser__L_p,pser__L_c
thrp,thrp_e,thrp_p,-
3ump,3ump_e,3ump_p,-
ump,ump_e,ump_p,ump_c
23cump,23cump_e,23cump_p,-
tyrp,tyrp_e,tyrp_p,-
dtmp,dtmp_e,dtmp_p,dtmp_c
minohp,minohp_e,minohp_p,-
so4,so4_e,so4_p,so4_c
tsul,tsul_e,tsul_p,tsul_c
cys__D,cys__D_e,cys__D_p,cys__D_c
cgly,cgly_e,cgly_p,cgly_c
3sala,-,-,3sala_c
cyst__L,-,-,cyst__L_c
gthrd,gthrd_e,gthrd_p,gthrd_c
met__D,met__D_e,met__D_p,met__D_c
metsox_S__L,metsox_S__L_e,metsox_S__L_p,metsox_S__L_c
taur,taur_e,taur_p,taur_c
butso3,butso3_e,butso3_p,butso3_c
isetac,isetac_e,isetac_p,isetac_c
mso3,mso3_e,mso3_p,mso3_c
